2026-09-03 11:10:16,535 INFO    tuneps.notify: E-mail envoyé à bzmed3@gmail.com
2026-09-03 11:23:01,142 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-03 11:23:01,289 WARNING tuneps.client: Échec requête (1/3) : HTTPSConnectionPool(host='www.tuneps.tn', port=443): Max retries exceeded with url: /api2/portail/bid/master/data (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1029)'))) — nouvelle tentative dans 2s
2026-09-03 11:23:03,611 WARNING tuneps.client: Échec requête (2/3) : HTTPSConnectionPool(host='www.tuneps.tn', port=443): Max retries exceeded with url: /api2/portail/bid/master/data (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1029)'))) — nouvelle tentative dans 4s
2026-09-03 11:23:07,703 WARNING tuneps.client: Échec requête (3/3) : HTTPSConnectionPool(host='www.tuneps.tn', port=443): Max retries exceeded with url: /api2/portail/bid/master/data (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1029)'))) — nouvelle tentative dans 8s
2026-09-03 11:40:31,289 INFO    tuneps.tlsfix: Maillon intermédiaire récupéré (niveau 1) : http://crt.sectigo.com/SectigoPublicServerAuthenticationCADVR36.crt
2026-09-03 11:40:31,425 INFO    tuneps.tlsfix: Chaîne TLS complétée : data/tuneps-ca.pem
2026-09-03 11:41:00,418 INFO    tuneps: Analyse TUNEPS — mode=sweep, fenêtre=2 mois
2026-09-03 11:41:04,498 INFO    tuneps: 4785 avis récupérés
2026-09-03 11:41:05,876 INFO    tuneps: NOUVEAU [high] 20260900504 — Mise à la disposition des automates au profit du Laboratoire de Biochimie – Marc (علم)
2026-09-03 11:41:07,198 INFO    tuneps: NOUVEAU [review] S20260900023 — استشارة لصنع وتركيب لافيتات توجيهية بالمستشفى المحلي بالفوار (لافتات~لافيتات)
2026-09-03 11:41:08,746 INFO    tuneps: NOUVEAU [high] S20260900084 — Acquisition Des Produits De Pavoisement Pour  L’année 2026 (اعلام الزينه~اعلام زينه, pavoisement, اعلام زينه, اعلام, زينه, acquisition, اقتناء)
2026-09-03 11:41:09,158 INFO    tuneps: NOUVEAU [review] S20260900111 — Acquisition d'illuminations et de décorations festives pour les municipalités (علامات الزينه, اعلام الزينه~علامات الزينه, علامات زينه~علامات الزينه, زينه, acquisition, اقتناء)
2026-09-03 11:41:10,561 INFO    tuneps: NOUVEAU [review] S20260900175 — travaux d'impression offset (طباعه رقميه~طباعه ورقيه, طباعه)
2026-09-03 11:41:11,178 INFO    tuneps: NOUVEAU [review] S20260900200 — travaux impression numérique (impression numerique, طباعه رقميه, طباعه)
2026-09-03 11:41:12,786 INFO    tuneps: NOUVEAU [review] S20260900280 — ACHAT DES APPAREILS DES PHOTOCOPIEURS 2026 (طباعه, achat)
2026-09-03 11:41:13,027 INFO    tuneps: NOUVEAU [high] S20260900290 — Acquisition de drapeaux (drapeaux, drapeau, acquisition)
2026-09-03 11:41:13,610 INFO    tuneps: NOUVEAU [high] S20260900311 — Achat Drapeau Tunisie (drapeaux, drapeau, achat)
2026-09-03 11:41:17,233 INFO    tuneps: NOUVEAU [review] S20260900533 — Acquisition des articles sanitaires, délectricité et de peinture. (printing~painting, acquisition, اقتناء)
2026-09-03 11:41:18,914 INFO    tuneps: NOUVEAU [review] 20260800016 — Appel d'offres n° 02/2026 pour l'acquisition de vêtements de travail pour les em (طباعه, acquisition, اقتناء)
2026-09-03 11:41:25,738 INFO    tuneps: NOUVEAU [review] 20260800284 — machines d'impressions (طباعه, اقتناء)
2026-09-03 11:41:28,088 INFO    tuneps: NOUVEAU [high] 20260800410 — إقتناء كواشف مخبرية مع الوضع على الذمة لآلات تحاليل لفائدة قسم مخبر تحاليل علم ا (علم, اقتناء)
2026-09-03 11:41:31,682 INFO    tuneps: NOUVEAU [high] 20260800615 — Acquisition des réactifs pour laboratoire génétique à l'hôpital Universitaire Fa (علم, acquisition, اقتناء)
2026-09-03 11:41:40,370 INFO    tuneps: NOUVEAU [review] S20260800055 — Acquisition de fournitures d'impression et de matériel publicitaire pour le comp (طباعه, acquisition, اقتناء)
2026-09-03 11:41:41,648 INFO    tuneps: NOUVEAU [review] S20260800111 — استشارة أشغال تركيز الزينة الضوئية لفائدة بلدية زغوان (زينه)
2026-09-03 11:41:42,967 INFO    tuneps: NOUVEAU [review] S20260800166 — استشارة أشغال تركيز الزينة الضوئية لسنة 2026 للمرة الثانية (زينه)
2026-09-03 11:41:43,452 INFO    tuneps: NOUVEAU [high] S20260800185 — ACQUISITION DES DRAPEAUX POUR LA DIRECTION PORT DE RADES (drapeaux, drapeau, اعلام, acquisition, اقتناء)
2026-09-03 11:41:44,295 INFO    tuneps: NOUVEAU [review] S20260800219 — Impression de l'ouvrage : Comment va le monde ? penser la transition (printing, طباعه)
2026-09-03 11:41:47,439 INFO    tuneps: NOUVEAU [review] S20260800360 — Achat fournitures d'impression (طباعه, achat, شراء)
2026-09-03 11:41:47,599 INFO    tuneps: NOUVEAU [review] S20260800370 — Acquisition équipements d'impression numérique pour prison Belli (impression numerique, طباعه رقميه, طباعه, acquisition, اقتناء)
2026-09-03 11:41:48,306 INFO    tuneps: NOUVEAU [review] S20260800398 — Contrat de maintenance et Acquisition des pièces de rechanges Pour ordinateurs,  (طباعه, acquisition, اقتناء)
2026-09-03 11:41:48,561 INFO    tuneps: NOUVEAU [review] S20260800419 — aquisition d'encre pour les imprimantes et les photocopieurs et des autres acces (طباعه, اقتناء)
2026-09-03 11:41:49,853 INFO    tuneps: NOUVEAU [high] S20260800476 — استشارة عدد 09/2026 اقتناء أعلام (اعلام, اقتناء)
